Date,L&TMidcap,DSPTax,AxisTax,KotakSF,L&TEmerB,SBIMulti,SBIBlueC,L&TTax,RelBal,MiraeEF
2018-01-04,6.3343,20.0723,22.7666,28.5829,33.5638,19.8189,24.7838,16.6606,17.1374,18.0884
2018-01-09,6.1599,19.5863,22.315,28.0049,32.6009,19.4043,24.312,16.2681,16.843,17.637
2018-01-11,6.1851,19.6603,22.3224,28.1088,32.7461,19.4575,24.42,16.3367,16.8597,17.6566
2018-01-16,6.182,19.5825,22.1513,27.9869,32.6286,19.3941,24.325,16.2017,16.699,17.5639
2018-01-18,6.2606,19.651,22.1946,28.0544,33.1312,19.4602,24.3102,16.3271,16.6962,17.7806
2018-01-19,6.3207,19.7988,22.1014,28.0828,33.6678,19.5863,24.3552,16.4503,16.7468,18.0135
2018-01-23,6.2477,19.6052,21.8393,27.8342,33.2314,19.3521,24.1558,16.2396,16.6342,17.8155
2018-01-24,6.2235,19.4054,21.9087,27.6152,33.1554,19.2123,24.0315,16.1734,16.5044,17.6828
2018-01-25,6.257,19.4394,22.0604,27.6886,33.4269,19.2942,24.0854,16.2462,16.5898,17.7623
2018-01-30,6.3621,19.6622,22.0702,27.76,34.0182,19.4587,24.1249,16.3463,16.5898,17.9678
2018-01-31,6.4313,19.8267,22.2757,27.8847,34.3678,19.5492,24.2819,16.5101,16.6781,18.1386
2018-02-02,6.4197,19.9239,22.2752,27.8645,34.4199,19.5879,24.2889,16.5399,16.6814,18.2655
2018-02-06,6.7096,20.7379,23.225,28.9318,35.5973,20.2171,25.1458,17.2028,17.1239,19.1597
2018-Feb-08,6.7304,20.8494,23.6284,29.1911,35.3945,20.3899,25.4285,17.3409,17.3214,19.4099
2018-Feb-09,6.6375,20.5982,23.2677,28.931,34.9614,20.1633,25.1724,17.1107,17.1506,19.0913
2018-Feb-13,6.602,20.4599,23.1492,28.9168,34.5101,20.1706,25.1541,16.967,17.15,18.9082
2018-Feb-16,6.6454,20.6241,23.1734,28.9143,34.9736,20.2004,25.161,17.113,17.2173,19.027
2018-Feb-21,6.7939,21.1824,23.4549,35.4547,20.6496,25.6608,17.4743,17.418,19.4197
2018-Feb-23,6.8278,21.2761,23.5222,29.5517,35.7105,20.734,25.7063,17.5722,17.4593,19.5565
2018-Mar-02,6.6702,21.0066,23.0012,29.2167,34.8614,20.444,25.2998,17.2405,17.2697,19.2101
2018-Mar-06,6.7299,21.2071,23.1557,29.4577,35.1766,20.5643,25.468,17.4092,17.4222,19.4179
2018-Mar-08,6.8823,21.6812,23.5377,30.049,35.9557,21.0137,25.9855,17.8167,17.6741,19.8708
2018-Mar-09,6.8488,21.4994,23.4615,29.7894,35.7449,20.9209,25.7998,17.7048,17.6035,19.7379
2018-Mar-13,6.8409,21.2938,23.1669,29.4282,35.8551,20.683,25.4446,17.5722,17.4016,19.6356
2018-Mar-16,6.744,21.1842,23.1401,29.391,35.2846,20.5389,25.3691,17.4514,17.4161,19.5015
2018-Mar-21,6.9037,21.7042,23.6502,30.0174,36.001,21.1153,25.8525,17.786,17.7239,20.0088
2018-Mar-30,6.8985,21.638,23.3323,29.8713,36.2805,20.8385,25.6338,17.867,17.6822,20.0602
2018-Apr-06,6.689,21.0526,22.5667,29.1333,34.859,20.2675,24.9963,17.4107,17.2885,19.399
2018-Apr-11,6.6361,20.8255,22.3909,28.8625,34.6476,20.1179,24.785,17.2957,17.2411,19.24
2018-Apr-13,6.6335,20.8507,22.172,28.8642,34.5877,20.0743,24.766,17.1937,17.2417,19.2208
2018-Apr-18,6.5509,20.765,21.9467,28.6903,34.2513,20.0361,24.5417,17.066,17.175,19.0749
2018-Apr-19,6.5768,20.8451,22.04,28.767,34.3159,20.0787,24.6281,17.094,17.2005,19.1439
2018-Apr-24,6.4918,20.7202,21.8522,28.7737,33.9882,19.9203,24.4732,16.9397,17.1151,19.0364
2018-Apr-25,6.4851,20.6984,21.8069,28.6115,33.9271,19.933,24.4343,16.8962,17.123,19.0208
2018-May-01,6.4437,20.4445,21.5708,28.5063,33.8765,19.8024,24.2055,16.7353,17.0045,18.7617
2018-May-02,6.4437,20.4445,21.5708,28.5063,33.8765,19.8024,24.2055,16.7353,17.0045,18.7617
2018-May-04,6.5509,20.8004,21.7316,28.8475,34.2642,20.0337,24.5634,16.9288,17.085,19.0444
2018-May-08,6.5595,20.6808,21.7467,28.6755,34.1635,19.9577,24.484,16.8254,17.0471,18.8541
2018-May-09,6.5411,20.6727,21.6455,28.6082,34.1717,19.9708,24.4972,16.7946,17.0587,18.8196
2018-May-11,6.6458,20.8199,21.8283,28.8035,34.577,20.0666,24.6342,16.9262,17.0783,19.0556
2018-May-16,6.6707,20.6962,21.787,28.6426,34.9101,20.0509,24.5429,17.0158,17.0643,19.1512
2018-May-18,6.6551,20.8725,21.8188,28.8268,34.8384,20.1321,24.8059,17.0372,17.201,19.2134
2018-May-23,6.7967,21.3079,22.2,29.3531,35.9829,20.4028,25.2538,17.5058,17.4697,19.6495
2018-May-24,6.8334,21.5267,22.4276,29.543,35.9596,20.5406,25.4647,17.6152,17.6087,19.8169
2018-May-25,6.8353,21.4754,22.2613,29.4005,36.1128,20.4132,25.3325,17.5457,17.5803,19.8189
2018-May-29,6.7236,20.9153,21.6934,28.7902,35.3769,20.0521,24.7011,17.2025,17.2221,19.253
2018-May-30,6.7399,21.0597,21.661,28.8817,35.4032,20.1967,24.8614,17.2153,17.287,19.3697
2018-May-31,6.7317,21.1425,21.5373,28.9084,35.5202,20.2564,24.9172,17.242,17.3241,19.3521
